Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR
Rafael Montero,HOU,RP,31,3.17,3.05,3.22,96.3,1.5
Raisel Iglesias,- - -,RP,32,5.57,2.46,2.99,95,1.6
Reynaldo Lopez,CHW,RP,28,5.45,3.08,3.35,97.1,1.9
Robert Stephenson,- - -,RP,29,3.93,3.64,4.11,96.9,0.2
Rowan Wick,CHC,RP,29,2.38,3.68,3.7,94.9,0
Ryan Brasier,BOS,RP,34,4.92,3.12,3.49,96,0.5
Ryan Helsley,STL,RP,27,4.7,2.02,2.6,99.7,2
Ryan Tepera,LAA,RP,34,2.35,4,4.25,92.7,0.1
Ryne Stanek,HOU,RP,30,2,3.85,3.95,98.4,0.9
Sam Hentges,CLE,RP,25,3.79,2.51,2.67,95.8,1.1
Scott Barlow,KCR,RP,29,3.5,3.1,3.42,93.7,0.9
Scott Effross,- - -,RP,28,4.13,2.88,3.1,90.6,1.3
Seranthony Dominguez,PHI,RP,27,2.77,3.15,3.26,98,1
Seth Lugo,NYM,RP,32,3.83,3.14,3.51,94.5,0.2
Shawn Armstrong,- - -,RP,31,3.75,3.19,3.56,95.6,0.4
Steve Cishek,WSN,RP,36,2.74,3.45,4.16,89.6,-0.3
Steven Okert,MIA,RP,30,2.42,3.5,4.14,93.7,-0.1
Steven Wilson,SDP,RP,27,2.55,4.05,4.73,95.1,0.2
Tanner Banks,CHW,RP,30,2.72,3.55,3.6,92.9,0.3
Tanner Scott,MIA,RP,27,1.96,3.74,3.53,96.9,0.4
Taylor Rogers,- - -,RP,31,4.42,2.64,3.26,94.3,1
Trevor Richards,TOR,RP,29,2.21,3.66,4.14,93.5,0
Trevor Stephan,CLE,RP,26,4.56,2.55,2.81,96.6,1.7
Trevor Williams,NYM,RP,30,3.67,3.21,3.61,91.1,0.7
Tyler Rogers,SFG,RP,31,2.13,3.93,4.12,83.3,0.6
Wandy Peralta,NYY,RP,30,2.76,3.51,3.61,95.5,1
Wil Crowe,PIT,RP,27,1.76,4.22,4.32,94.7,0
Will Smith,- - -,RP,32,2.6,3.64,4.14,92.2,-0.1
Will Vest,DET,RP,27,3.05,3.29,3.36,95.2,0.6
Yimi Garcia,TOR,RP,31,3.63,3.43,4.09,94.7,0.9
