Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA,Actual Salary
"Abreu, Jose",CHW,1B,35,15,0.56,0.373,138,1.4,3.9,1,0,"19,666,668"
"Aguilar, Jesus",BAL,1B,32,16,0.24,0.298,86,1.5,-0.4,-5,0,"700,000"
"Alonso, Pete",NYM,1B,27,40,0.52,0.354,143,2.9,4,-2,-7,"7,400,000"
"Arraez, Luis",MIN,1B,25,8,1.16,0.333,131,3,3.2,4,1,"2,125,000"
"Bell, Josh",SDP,1B,29,17,0.79,0.349,123,2.4,2,-1,-4,"10,000,000"
"Brown, Seth",OAK,1B,29,25,0.35,0.338,117,4.7,1.8,0,-3,"705,000"
"Castro, Harold",DET,1B,28,7,0.22,0.316,94,2.2,-0.4,-1,-2,"1,275,000"
"Chavis, Michael",PIT,1B,26,14,0.15,0.261,80,3.3,-0.6,2,-2,"725,000"
"Choi, Ji-Man",TBR,1B,31,11,0.47,0.337,116,0.7,1.3,-2,2,"3,200,000"
"Cooper, Garrett",MIA,1B,31,9,0.34,0.341,115,1.8,1.4,-4,1,"2,500,000"
"Cron, C.J.",COL,1B,32,29,0.26,0.321,101,2.4,1.3,5,0,"7,250,000"
"Dalbec, Bobby",BOS,1B,27,12,0.25,0.296,80,5,-0.1,-6,-1,"714,000"
"France, Ty",SEA,1B,27,20,0.37,0.321,126,1.5,2.4,2,-2,"734,500"
"Freeman, Freddie",LAD,1B,32,21,0.82,0.403,157,4.8,7.1,-2,3,"27,000,000"
"Goldschmidt, Paul",STL,1B,34,35,0.56,0.367,177,3.6,7.1,2,-6,"26,300,000"
"Guerrero Jr., Vladimir",TOR,1B,23,32,0.5,0.348,132,3.1,2.8,3,-4,"7,900,000"
"Gurriel, Yuli",HOU,1B,38,8,0.41,0.271,85,3.8,-0.9,-2,-9,"8,000,000"
"Hoskins, Rhys",PHI,1B,29,30,0.43,0.338,122,2.8,2.2,3,-6,"7,700,000"
"Hosmer, Eric",BOS,1B,32,8,0.58,0.311,104,0.9,0.3,-5,-2,"19,753,846"
"Lowe, Nathaniel",TEX,1B,26,27,0.33,0.344,143,2.7,3,-9,-11,"716,000"
"Miller, Owen",CLE,1B,25,6,0.34,0.291,85,3.6,0.6,1,3,"701,100"
"Miranda, Jose",MIN,1B,24,15,0.31,0.317,117,1.5,1.1,-6,-4,"596,130"
"Mountcastle, Ryan",BAL,1B,25,22,0.28,0.362,106,3,1.6,1,2,"711,000"
"Naylor, Josh",CLE,1B,25,20,0.48,0.327,117,2.9,1.7,1,3,"1,200,000"
"Olson, Matt",ATL,1B,28,34,0.44,0.347,120,1.2,3.1,6,2,"15,000,000"
"Rizzo, Anthony",NYY,1B,32,32,0.57,0.349,133,3.7,2.4,-3,-2,"16,000,000"
"Santana, Carlos",SEA,1B,36,19,0.81,0.352,102,1,1,3,3,"11,175,000"
"Tellez, Rowdy",MIL,1B,27,35,0.51,0.349,110,1.8,0.8,-6,-4,"1,940,000"
"Torkelson, Spencer",DET,1B,22,8,0.37,0.305,76,2.4,-1,-3,-1,"700,000"
"Votto, Joey",CIN,1B,38,11,0.45,0.322,92,1.5,-0.9,-2,-9,"25,000,000"
"Walker, Christian",ARI,1B,31,36,0.53,0.359,122,2.7,4.1,17,14,"2,600,000"
"Walsh, Jared",LAA,1B,28,15,0.2,0.28,78,3.2,-0.6,-2,0,"730,000"
