Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR
Ross Stripling,TOR,SP,32,7.14,3.69,3.6,91.5,3.1
Sandy Alcantara,MIA,SP,26,4.14,3.42,3.29,97.9,5.7
Sean Manaea,SDP,SP,30,3.02,3.95,3.99,91.2,1
Shane Bieber,CLE,SP,27,5.5,3.21,2.98,91.3,4.9
Shane McClanahan,TBR,SP,25,5.11,2.82,2.6,96.8,3.5
Shohei Ohtani,LAA,SP,27,4.98,2.73,2.65,97.3,5.6
Sonny Gray,MIN,SP,32,3.25,3.73,3.66,92.1,2.4
Spencer Strider,ATL,SP,23,4.85,2.41,2.2,98.1,4.2
Taijuan Walker,NYM,SP,29,2.93,4.05,3.88,93.5,2.5
Tarik Skubal,DET,SP,25,3.66,3.58,3.4,94.4,2.9
Tony Gonsolin,LAD,SP,28,3.4,3.74,3.69,93.2,2.7
Trevor Rogers,MIA,SP,24,2.36,4.2,4.11,94.6,0.8
Triston McKenzie,CLE,SP,24,4.5,3.53,3.72,92.6,3.6
Tyler Anderson,LAD,SP,32,3.82,4.13,4.17,90.5,3.7
Tyler Mahle,- - -,SP,27,2.93,3.88,4.03,93.3,2.1
Tyler Wells,BAL,SP,27,2.71,4.53,4.6,93.6,0.9
Yu Darvish,SDP,SP,35,5.32,3.39,3.58,95,4.2
Zac Gallen,ARI,SP,26,4.09,3.32,3.31,94.2,4.3
Zach Davies,ARI,SP,29,1.96,4.71,4.57,89.6,0.5
Zach Plesac,CLE,SP,27,2.63,4.46,4.39,92,0.9
Zach Thompson,PIT,SP,28,1.85,4.75,4.51,92.3,0
Zack Greinke,KCR,SP,38,2.7,4.84,4.54,89.2,1.9
Zack Wheeler,PHI,SP,32,4.79,3.19,3.06,95.8,4.1
