Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR,Actual Salary
"Severino, Luis",NYY,SP,28,3.73,3.37,3.38,96.3,1.4,"11,000,000"
"Singer, Brady",KCR,SP,25,4.24,3.43,3.31,93.8,2.9,"726,250"
"Skubal, Tarik",DET,SP,25,3.66,3.58,3.4,94.4,2.9,"713,600"
"Smyly, Drew",CHC,SP,33,3.5,4.06,4.18,92.6,1.3,"4,250,000"
"Snell, Blake",SDP,SP,29,3.35,3.2,3.21,95.9,3.7,"12,500,000"
"Springs, Jeffrey",TBR,SP,29,4.75,3.36,3.33,91.5,2.6,"947,500"
"Steele, Justin",CHC,SP,26,2.52,3.81,3.48,92.1,2.6,"705,000"
"Strider, Spencer",ATL,SP,23,4.85,2.41,2.2,98.1,4.2,"710,000"
"Stripling, Ross",TOR,SP,32,7.14,3.69,3.6,91.5,3.1,"3,790,000"
"Stroman, Marcus",CHC,SP,31,3.31,3.74,3.49,92.1,2,"25,000,000"
"Suarez, Jose",LAA,SP,24,2.94,4.04,3.97,92.6,1.5,"720,000"
"Suarez, Ranger",PHI,SP,26,2.22,4.11,3.82,92.8,2.3,"730,000"
"Syndergaard, Noah",PHI,SP,29,3,4.43,4.32,93.8,2.2,"21,000,000"
"Taillon, Jameson",NYY,SP,30,4.72,3.84,3.79,94.2,2.3,"5,800,000"
"Urias, Julio",LAD,SP,25,4.05,3.66,3.81,93.1,3.2,"8,000,000"
"Urquidy, Jose",HOU,SP,27,3.69,4.14,4.27,93.6,1.3,"748,700"
"Valdez, Framber",HOU,SP,28,2.9,3.14,2.99,94,4.4,"3,000,000"
"Verlander, Justin",HOU,SP,39,6.38,3.09,3.23,95.1,6.1,"25,000,000"
"Wacha, Michael",BOS,SP,30,3.35,4.07,3.99,93,1.5,"7,000,000"
"Wainwright, Adam",STL,SP,40,2.65,4.34,4.1,88.5,2.8,"17,500,000"
"Walker, Taijuan",NYM,SP,29,2.93,4.05,3.88,93.5,2.5,"7,000,000"
"Webb, Logan",SFG,SP,25,3.33,3.56,3.31,91.9,4.2,"730,000"
"Wells, Tyler",BAL,SP,27,2.71,4.53,4.6,93.6,0.9,"704,500"
"Wheeler, Zack",PHI,SP,32,4.79,3.19,3.06,95.8,4.1,"26,000,000"
"Wood, Alex",SFG,SP,31,4.37,3.45,3.41,92.4,1.7,"12,500,000"
"Woodruff, Brandon",MIL,SP,29,4.52,3.03,3.14,96.2,3.5,"6,800,000"
"Wright, Kyle",ATL,SP,26,3.28,3.48,3.3,94.7,2.9,"720,000"
