Name,Team,Pos,Age,K/BB,SIERA,xFIP,FBv,WAR,Actual Salary
"Santana, Dennis",TEX,RP,26,1.96,4.04,4.21,96.9,0.6,720000
"Schreiber, John",BOS,RP,28,3.89,2.71,3.01,94,1.7,700000
"Scott, Tanner",MIA,RP,27,1.96,3.74,3.53,96.9,0.4,1050000
"Sewald, Paul",SEA,RP,32,4.24,2.89,3.58,92.6,0.5,1735000
"Smith, Caleb",ARI,RP,30,1.75,4.54,5.06,92,-0.5,2000000
"Smith, Will",HOU,RP,32,2.6,3.64,4.14,92.2,-0.1,13000000
"Soto, Gregory",DET,RP,27,1.76,4.21,4.59,98.4,0.6,722400
"Stanek, Ryne",HOU,RP,30,2,3.85,3.95,98.4,0.9,2100000
"Stephan, Trevor",CLE,RP,26,4.56,2.55,2.81,96.6,1.7,703400
"Stephens, Jackson",ATL,RP,28,2.24,3.81,3.91,94.2,0.4,700000
"Stephenson, Robert",PIT,RP,29,3.93,3.64,4.11,96.9,0.2,1280000
"Stratton, Chris",STL,RP,31,2.4,3.76,3.93,92.9,0.7,2700000
"Strickland, Hunter",CIN,RP,33,1.82,4.34,4.96,95,0,1825000
"Suter, Brent",MIL,RP,32,2.41,3.96,4.18,86.6,-0.2,2700000
"Swanson, Erik",SEA,RP,28,6.9,2.15,2.68,93.7,1.7,711600
"Tate, Dillon",BAL,RP,28,3.75,3.09,3.4,94,0.5,711500
"Tepera, Ryan",LAA,RP,34,2.35,4,4.25,92.7,0.1,7000000
"Thielbar, Caleb",MIN,RP,35,4.44,2.59,3.07,92.9,1.6,1300000
"Trivino, Lou",NYY,RP,30,2.79,3.19,3.34,95.7,0.2,3000000
"Underwood Jr., Duane",PIT,RP,27,2.24,3.76,3.93,95.5,0.9,725000
"Vesia, Alex",LAD,RP,26,3.29,2.68,3.03,94.2,1.5,720000
"Vest, Will",DET,RP,27,3.05,3.29,3.36,95.2,0.6,700000
"Wick, Rowan",CHC,RP,29,2.38,3.68,3.7,94.9,0,724000
"Williams, Devin",MIL,RP,27,3.2,2.43,2.36,94,2.2,714500
"Williams, Trevor",NYM,RP,30,3.67,3.21,3.61,91.1,0.7,3900000
"Wilson, Steven",SDP,RP,27,2.55,4.05,4.73,95.1,0.2,700000
