Name,Team,Pos,Age,HR,BB/K,xwOBA,wRC+,Spd,WAR,DRS,OAA,Actual Salary
"Acuna Jr., Ronald",ATL,OF,24,15,0.42,0.366,114,4.9,2.2,0,-5,15000000
"Arozarena, Randy",TBR,OF,27,20,0.29,0.301,125,5.6,2.7,-5,0,716600
"Bader, Harrison",NYY,OF,28,5,0.24,0.27,86,7.4,1.5,-1,7,4700000
"Bellinger, Cody",LAD,OF,26,19,0.25,0.278,83,6.3,1.7,0,6,17000000
"Benintendi, Andrew",NYY,OF,27,5,0.68,0.334,122,4.1,2.8,2,0,8500000
"Betts, Mookie",LAD,OF,29,35,0.53,0.344,144,6,6.6,15,4,17500000
"Bradley Jr., Jackie",TOR,OF,32,4,0.31,0.268,56,2.7,-0.1,5,8,700000
"Brown, Seth",OAK,OF,29,25,0.35,0.338,117,4.7,1.8,-6,-4,705000
"Buxton, Byron",MIN,OF,28,28,0.29,0.358,136,6.5,4,8,8,9000000
"Calhoun, Kole",TEX,OF,34,12,0.2,0.294,67,3.3,-1.1,-3,-1,5200000
"Canha, Mark",NYM,OF,33,13,0.49,0.323,128,3.1,2.8,-4,0,12000000
"Carlson, Dylan",STL,OF,23,8,0.48,0.301,100,4.9,2.4,1,1,703000
"Castellanos, Nick",PHI,OF,30,13,0.22,0.302,94,3.4,-0.7,-8,-11,20000000
"Castro, Willi",DET,OF,25,8,0.18,0.29,86,5.5,0.7,2,0,661512
"Celestino, Gilberto",MIN,OF,23,2,0.42,0.27,82,3.8,0,1,2,702850
"Daza, Yonathan",COL,OF,28,2,0.45,0.308,93,3.4,0.7,-5,-2,705000
"De La Cruz, Bryan",MIA,OF,25,13,0.21,0.355,104,3.5,0.6,-1,-3,706000
"Duvall, Adam",ATL,OF,33,12,0.21,0.293,87,3.2,0.9,-3,4,9275000
"Gallo, Joey",LAD,OF,28,19,0.34,0.295,85,4.7,0.6,4,-3,10275000
"Gamel, Ben",PIT,OF,30,9,0.49,0.316,97,4.1,0,-7,-6,1800000
"Garcia, Adolis",TEX,OF,29,27,0.22,0.322,112,6.6,3.8,4,1,714000
"Garcia, Avisail",MIA,OF,31,8,0.16,0.281,66,3.3,-0.6,-3,0,12000000
"Gonzalez, Luis",SFG,OF,26,4,0.4,0.268,95,5.2,0.3,0,-5,700000
"Gonzalez, Oscar",CLE,OF,24,11,0.2,0.32,122,1.6,1.6,-1,-5,700000
"Gordon, Nick",MIN,OF,26,9,0.18,0.333,111,4.9,1.5,0,0,706800
"Greene, Riley",DET,OF,21,5,0.3,0.316,98,4.2,0.9,2,2,700000
"Grichuk, Randal",COL,OF,30,19,0.19,0.281,88,4.4,-0.2,-4,-1,9333333
"Grisham, Trent",SDP,OF,25,17,0.38,0.295,83,4.9,2.1,8,13,729300
"Grossman, Robbie",ATL,OF,32,7,0.43,0.281,82,3.4,-0.3,3,0,5000000
"Gurriel Jr., Lourdes",TOR,OF,28,5,0.37,0.321,114,2.7,1,3,-2,4500000
"Happ, Ian",CHC,OF,27,17,0.39,0.306,120,3.9,3.5,14,2,6850000
"Harris II, Michael",ATL,OF,21,19,0.2,0.335,136,7.2,4.8,8,7,700000
"Hays, Austin",BAL,OF,26,16,0.3,0.298,105,3,1.5,4,-6,713000
"Hernandez, Enrique",BOS,OF,30,6,0.48,0.296,75,2.4,0.5,4,4,8000000
"Hernandez, Teoscar",TOR,OF,29,25,0.22,0.351,129,3.8,2.4,-2,-4,10650000
"Hernandez, Yadiel",WSN,OF,34,9,0.26,0.31,101,2.2,-0.1,-3,-5,714000
"Hicks, Aaron",NYY,OF,32,8,0.57,0.303,90,5,1.5,4,1,10500000
"Joe, Connor",COL,OF,29,7,0.57,0.311,87,5.3,0,0,-5,702000
"Judge, Aaron",NYY,OF,30,62,0.63,0.463,207,4,11.4,3,2,19000000
"Kepler, Max",MIN,OF,29,9,0.74,0.338,95,3.4,2,9,11,6750000
"Kwan, Steven",CLE,OF,24,6,1.03,0.312,124,6.2,4.4,15,8,700000
"Laureano, Ramon",OAK,OF,27,13,0.24,0.307,96,4.8,0.9,-1,-5,2450000
"Margot, Manuel",TBR,OF,27,4,0.35,0.299,106,4.4,1.5,3,0,5600000
"Marsh, Brandon",PHI,OF,24,11,0.18,0.287,89,5.6,1.7,6,8,710000
"Marte, Starling",NYM,OF,33,16,0.27,0.336,136,6.5,3,4,-2,14500000
"McCarthy, Jake",ARI,OF,24,8,0.3,0.298,116,7.6,2.3,-1,-1,702400
"McCormick, Chas",HOU,OF,27,14,0.43,0.325,114,3.8,2,-2,7,703800
"Merrifield, Whit",TOR,OF,33,11,0.45,0.288,88,5.2,1.5,-3,2,7000000
"Morel, Christopher",CHC,OF,23,16,0.28,0.324,108,5.9,1.6,-6,-4,700000
"Mullins II, Cedric",BAL,OF,27,16,0.37,0.288,106,6.6,3.4,5,8,716500
"Naquin, Tyler",NYM,OF,31,11,0.2,0.317,93,6.5,0.3,-6,-1,2521180
"Nimmo, Brandon",NYM,OF,29,16,0.61,0.342,134,4.7,5.4,-3,6,7000000
"Nootbaar, Lars",STL,OF,24,14,0.72,0.346,125,5.5,2.7,4,0,705200
"O'Neill, Tyler",STL,OF,27,14,0.37,0.331,101,5.9,1.3,1,1,3400000
"Ortega, Rafael",CHC,OF,31,7,0.59,0.307,96,4.2,0.7,-2,-1,738500
"Pederson, Joc",SFG,OF,30,23,0.42,0.367,144,4,2.1,-15,-11,6000000
"Peralta, David",TBR,OF,34,12,0.36,0.313,104,2.5,1.7,-5,5,8000000
"Pham, Tommy",BOS,OF,34,17,0.34,0.311,89,4.5,0.6,0,-6,6000000
"Pinder, Chad",OAK,OF,30,12,0.12,0.28,86,2.9,-0.1,-5,-4,2725000
"Pollock, A.J.",CHW,OF,34,14,0.33,0.317,92,3.5,0.5,0,0,11500000
"Profar, Jurickson",SDP,OF,29,15,0.71,0.315,110,4,2.5,2,-5,6500000
"Renfroe, Hunter",MIL,OF,30,29,0.32,0.323,124,2.2,2.5,2,-2,7650000
"Reyes, Victor",DET,OF,27,3,0.17,0.292,85,3.7,-0.2,0,-2,1400000
"Reynolds, Bryan",PIT,OF,27,27,0.4,0.329,125,4.5,2.9,-14,-7,6750000
"Robert, Luis",CHW,OF,24,12,0.22,0.327,111,4.6,2.1,-4,2,6000000
"Robles, Victor",WSN,OF,25,6,0.16,0.244,64,6.1,0.3,12,5,1650000
"Rodriguez, Julio",SEA,OF,21,28,0.28,0.337,146,6.2,5.3,3,6,700000
"Sanchez, Jesus",MIA,OF,24,13,0.28,0.298,93,4.2,0.9,3,-2,709000
"Santander, Anthony",BAL,OF,27,33,0.45,0.352,120,1.6,2.5,-5,-4,3150000
"Schwarber, Kyle",PHI,OF,29,46,0.43,0.375,128,5.2,2.6,-14,-13,19000000
"Senzel, Nick",CIN,OF,27,5,0.39,0.299,66,3.7,-0.6,-11,0,1250000
"Sheets, Gavin",CHW,OF,26,15,0.31,0.283,100,0.7,0.1,-8,-5,671067
"Siri, Jose",TBR,OF,26,7,0.19,0.261,75,7.8,1.9,7,15,704000
"Slater, Austin",SFG,OF,29,7,0.45,0.351,124,6.8,2.1,-9,2,1850000
"Soler, Jorge",MIA,OF,30,13,0.34,0.322,98,1.6,0.5,-1,-2,12000000
"Soto, Juan",SDP,OF,23,27,1.41,0.401,145,3.5,3.8,-2,-12,17100000
"Springer, George",TOR,OF,32,25,0.54,0.342,132,6,4.2,-4,1,28000000
"Straw, Myles",CLE,OF,27,0,0.62,0.275,64,6.5,2,17,13,1250000
"Suwinski, Jack",PIT,OF,23,19,0.36,0.307,100,3.1,1.8,2,1,700000
"Suzuki, Seiya",CHC,OF,27,14,0.38,0.327,116,4.5,2,-4,-4,7000000
"Tapia, Raimel",TOR,OF,28,7,0.2,0.286,90,5.3,0.3,-4,-4,3950000
"Taveras, Leody",TEX,OF,23,5,0.24,0.27,93,5.6,1.2,-2,4,700000
"Taylor, Chris",LAD,OF,31,10,0.28,0.277,93,5.6,1.9,-2,1,15000000
"Taylor, Michael A.",KCR,OF,31,9,0.32,0.289,90,4.1,1.5,19,5,4500000
"Taylor, Tyrone",MIL,OF,28,17,0.22,0.307,102,4.6,2.1,6,6,711100
"Thomas, Alek",ARI,OF,22,8,0.3,0.277,71,3.7,0.5,6,6,542286
"Thomas, Lane",WSN,OF,26,17,0.31,0.286,96,4.1,1.1,-1,-3,723600
"Trout, Mike",LAA,OF,30,40,0.39,0.395,176,3.3,6,0,3,35450000
"Tucker, Kyle",HOU,OF,25,30,0.62,0.353,129,4.9,4.7,14,3,764200
"Varsho, Daulton",ARI,OF,25,27,0.32,0.298,106,5.7,4.6,19,17,721700
"Vaughn, Andrew",CHW,OF,24,17,0.32,0.319,113,1.8,-0.4,-14,-16,715000
"Verdugo, Alex",BOS,OF,26,11,0.49,0.329,103,2.2,1.2,-5,-5,3550000
"Vierling, Matt",PHI,OF,25,6,0.33,0.327,81,5.1,0,-6,-2,704000
"Ward, Taylor",LAA,OF,28,23,0.5,0.361,137,3.4,3.8,-3,1,720000
"Winker, Jesse",SEA,OF,28,14,0.82,0.345,109,0.9,0.4,-16,-10,6250000
"Yastrzemski, Mike",SFG,OF,31,17,0.43,0.314,99,4.7,2.2,3,3,3700000
"Yelich, Christian",MIL,OF,30,14,0.54,0.339,111,6,2.3,-2,-4,26000000
