Name,Team,Age,K/BB,SIERA,xFIP,FBv,WAR,playerid
Tyler Wells,BAL,27,2.71,4.53,4.6,93.6,0.9,20000
Rich Hill,BOS,42,2.95,4.13,4.12,88.3,1.8,4806
Paul Blackburn,OAK,28,2.97,4.09,3.89,91.7,0.8,14739
Corey Kluber,TBR,36,6.62,3.85,3.92,88.9,3,2429
Zach Plesac,CLE,27,2.63,4.46,4.39,92,0.9,19979
Charlie Morton,ATL,38,3.25,3.48,3.6,94.9,1.5,4676
Tyler Mahle,- - -,27,2.93,3.88,4.03,93.3,2.1,16358
Jake Odorizzi,- - -,32,2.46,4.59,4.7,92.1,1.3,6397
Jordan Lyles,BAL,31,2.77,4.36,4.39,91.5,1.4,7593
Hunter Greene,CIN,22,3.42,3.33,3.64,99,1.6,22182
Dane Dunning,TEX,27,2.21,4.17,4.03,89.5,0.9,19409
Kyle Freeland,COL,29,2.47,4.51,4.48,90,2.6,16256
Dakota Hudson,STL,27,1.3,5.08,4.8,91.8,1,19206
Chris Archer,MIN,33,1.75,4.76,4.57,93.1,0.5,6345
Nick Pivetta,BOS,29,2.4,4.21,4.26,93.5,1.5,15454
Glenn Otto,TEX,26,1.73,4.83,4.82,92.2,0,21366
JT Brubaker,PIT,28,2.72,3.97,3.87,93.1,1.9,17578
Adrian Houser,MIL,29,1.43,5.09,4.7,93.9,1,12718
Madison Bumgarner,ARI,32,2.29,4.76,4.83,91.2,0.5,5524
Dylan Bundy,MIN,29,3.36,4.65,4.7,89.2,0.7,12917
Graham Ashcraft,CIN,24,2.37,4.22,4.09,97.2,1.3,27552
Kyle Bradish,BAL,25,2.41,4.15,4.01,94.7,0.7,24586
Lucas Giolito,CHW,27,2.9,3.79,3.66,92.6,1.8,15474
Brad Keller,KCR,26,1.77,4.7,4.4,93.9,0.6,15734
German Marquez,COL,27,2.38,4.27,4.02,95.4,1.4,15038
Ian Anderson,ATL,24,1.8,4.58,4.22,94,0.9,19951
Josiah Gray,WSN,24,2.33,4.27,4.57,94.5,-0.6,24580
Kyle Gibson,PHI,34,3,4.06,3.94,91.8,1.8,10123
Sean Manaea,SDP,30,3.02,3.95,3.99,91.2,1,15873
Alex Wood,SFG,31,4.37,3.45,3.41,92.4,1.7,13781
Daniel Lynch,KCR,25,2.35,4.34,4.3,94,0.7,21537
Zach Thompson,PIT,28,1.85,4.75,4.51,92.3,0,16094
Jose Berrios,TOR,28,3.31,4.13,4.21,94,1.1,14168
Jon Heasley,KCR,25,1.49,5.3,5.49,93.4,-0.5,22224
Trevor Rogers,MIA,24,2.36,4.2,4.11,94.6,0.8,22286
Kris Bubic,KCR,24,1.71,4.81,4.55,91.9,0.5,21455
Chad Kuhl,COL,29,1.9,4.8,4.78,92.8,0.5,14975
Erick Fedde,WSN,29,1.62,5,4.74,92.6,0.4,17425
Patrick Corbin,WSN,32,2.61,4.33,4.21,92.7,0.8,9323
