,Name,Team,Pos,Age,Actual Salary,Predicted Salary,Value Index
513,"Harper, Bryce",PHI,DH,29,26000000,6655955,25.599826923076925
514,"Jimenez, Eloy",CHW,DH,25,6500000,2659197,40.91072307692308
515,"Mancini, Trey",HOU,DH,30,4821415,8129196,168.60602126139318
516,"Martinez, J.D.",BOS,DH,34,19350000,11974284,61.88260465116279
517,"McCutchen, Andrew",MIL,DH,35,8500000,11881462,139.78190588235293
518,"Ohtani, Shohei",LAA,DH,27,5500000,10172172,184.94858181818182
519,"Ozuna, Marcell",ATL,DH,31,16000000,18486434,115.5402125
520,"Pujols, Albert",STL,DH,42,2500000,13173805,526.9522000000001
521,"Ramirez, Harold",TBR,DH,27,728000,2923740,401.6126373626373
522,"Reyes, Franmil",CHC,DH,26,4550000,9731996,213.890021978022
523,"Ruf, Darin",NYM,DH,35,3000000,11762935,392.0978333333333
524,"Solano, Donovan",CIN,DH,34,4500000,7887711,175.28246666666666
525,"Stanton, Giancarlo",NYY,DH,32,29000000,14423648,49.73671724137931
526,"Vogelbach, Daniel",NYM,DH,29,800000,956274,119.53425
527,"Voit, Luke",WSN,DH,31,5450000,12350413,226.61308256880736
